consumer_id,cluster,cluster_label
KH00100010,1,Higher online-spend share — Segment 2
KH00100045,0,Lower-frequency activity — Segment 1
KH00100050,0,Lower-frequency activity — Segment 1
KH00100085,1,Higher online-spend share — Segment 2
KH00100090,1,Higher online-spend share — Segment 2
KH00100125,1,Higher online-spend share — Segment 2
KH00100130,1,Higher online-spend share — Segment 2
KH00100165,1,Higher online-spend share — Segment 2
KH00100170,0,Lower-frequency activity — Segment 1
KH00100205,1,Higher online-spend share — Segment 2
KH00100210,1,Higher online-spend share — Segment 2
KH00100245,0,Lower-frequency activity — Segment 1
KH00100250,0,Lower-frequency activity — Segment 1
KH00100285,0,Lower-frequency activity — Segment 1
KH00100290,0,Lower-frequency activity — Segment 1
KH00100325,1,Higher online-spend share — Segment 2
KH00100330,1,Higher online-spend share — Segment 2
KH00100365,1,Higher online-spend share — Segment 2
KH00100370,0,Lower-frequency activity — Segment 1
KH00100405,1,Higher online-spend share — Segment 2
KH00100410,0,Lower-frequency activity — Segment 1
KH00100445,0,Lower-frequency activity — Segment 1
KH00100450,1,Higher online-spend share — Segment 2
KH00100485,0,Lower-frequency activity — Segment 1
KH00100490,1,Higher online-spend share — Segment 2
KH00100525,0,Lower-frequency activity — Segment 1
KH00100530,0,Lower-frequency activity — Segment 1
KH00100565,0,Lower-frequency activity — Segment 1
KH00100570,1,Higher online-spend share — Segment 2
KH00100605,1,Higher online-spend share — Segment 2
KH00100610,1,Higher online-spend share — Segment 2
KH00100645,0,Lower-frequency activity — Segment 1
KH00100650,1,Higher online-spend share — Segment 2
KH00100685,1,Higher online-spend share — Segment 2
KH00100690,1,Higher online-spend share — Segment 2
KH00100725,1,Higher online-spend share — Segment 2
KH00100730,0,Lower-frequency activity — Segment 1
KH00100765,0,Lower-frequency activity — Segment 1
KH00100770,0,Lower-frequency activity — Segment 1
KH00100805,0,Lower-frequency activity — Segment 1
KH00100810,0,Lower-frequency activity — Segment 1
KH00100845,0,Lower-frequency activity — Segment 1
KH00100850,0,Lower-frequency activity — Segment 1
KH00100885,1,Higher online-spend share — Segment 2
KH00100890,0,Lower-frequency activity — Segment 1
KH00100925,1,Higher online-spend share — Segment 2
KH00100930,1,Higher online-spend share — Segment 2
KH00100965,1,Higher online-spend share — Segment 2
KH00100970,1,Higher online-spend share — Segment 2
KH00101005,1,Higher online-spend share — Segment 2
KH00101010,1,Higher online-spend share — Segment 2
KH00101045,1,Higher online-spend share — Segment 2
KH00101050,0,Lower-frequency activity — Segment 1
KH00101085,0,Lower-frequency activity — Segment 1
KH00101090,1,Higher online-spend share — Segment 2
KH00101125,1,Higher online-spend share — Segment 2
KH00101130,0,Lower-frequency activity — Segment 1
KH00101165,0,Lower-frequency activity — Segment 1
KH00101170,0,Lower-frequency activity — Segment 1
KH00101205,0,Lower-frequency activity — Segment 1
KH00101210,1,Higher online-spend share — Segment 2
KH00101245,0,Lower-frequency activity — Segment 1
KH00101250,0,Lower-frequency activity — Segment 1
KH00101285,0,Lower-frequency activity — Segment 1
KH00101290,0,Lower-frequency activity — Segment 1
KH00101325,1,Higher online-spend share — Segment 2
KH00101330,1,Higher online-spend share — Segment 2
KH00101365,1,Higher online-spend share — Segment 2
KH00101370,1,Higher online-spend share — Segment 2
KH00101405,0,Lower-frequency activity — Segment 1
KH00101410,0,Lower-frequency activity — Segment 1
