consumer_id,median_spend_to_income_ratio,median_credit_utilization_ratio,median_essential_spend_ratio,median_online_spend_ratio,log1p_mean_monthly_transaction_count,n_observed_months,latest_observed_month,months_health_under_40,stress_month_share,months_stressed_high_engagement,months_healthy_low_engagement,mean_financial_health_score,mean_engagement_score,latest_financial_health_score,latest_engagement_score,latest_age,latest_gender,latest_occupation,latest_province_city
KH00100010,0.56775,0.1421,0.38449464322361954,0.16013045772767204,5.499215308914927,12,2025-12-01,0,0.0,0,0,70.61666666666666,78.29166666666667,57.0,78.1,27,Nam,Kỹ sư sản xuất,Đồng Nai
KH00100045,0.5909,0.1297,0.46524235158311733,0.1739397939011674,4.814890716970161,12,2025-12-01,0,0.0,0,0,68.48333333333333,77.425,59.8,77.5,62,Nữ,Chuyên viên sinh lý vận động,Nghệ An
KH00100050,0.7290000000000001,0.28390000000000004,0.5175410310158736,0.17402349525043104,4.814890716970161,12,2025-12-01,0,0.0,0,0,60.958333333333336,78.7,55.7,77.1,81,Nữ,Nhà thiết kế dệt may,Cần Thơ
KH00100085,0.6789499999999999,0.1748,0.4382839791371239,0.19446511361823282,5.211305989558407,12,2025-12-01,0,0.0,0,0,67.51666666666667,80.44166666666666,55.8,83.0,32,Nữ,Nhà địa vật lý,Thành phố Hồ Chí Minh
KH00100090,0.51925,0.161,0.00116747606268695,0.8608831819260898,1.9459101490553132,2,2025-10-01,0,0.0,0,0,67.85,49.25,71.7,43.1,18,Nam,Kỹ sư hóa học,Tuyên Quang
KH00100125,0.71185,0.15505000000000002,0.4226955640030525,0.24228409524509104,5.722222518283326,12,2025-12-01,0,0.0,0,0,64.30833333333334,82.10000000000001,54.5,81.1,48,Nữ,Chuyên viên trắc địa,An Giang
KH00100130,0.5082,0.1987,0.5254969570915105,0.2233311898091088,5.722222518283326,12,2025-12-01,0,0.0,0,0,68.625,80.875,55.7,80.2,46,Nữ,Chuyên viên phân tích rủi ro,Thành phố Hồ Chí Minh
KH00100165,0.7908999999999999,0.1845,0.0555190492220902,0.3607761115858533,1.791759469228055,2,2025-12-01,1,0.5,0,0,56.85,32.75,74.9,9.7,63,Nữ,Nhân viên cứu trợ quốc tế,Đồng Nai
KH00100170,0.6087,0.1675,0.5194676886086567,0.1557149169832061,4.1364990019761345,12,2025-12-01,0,0.0,0,0,68.33333333333333,73.77499999999999,41.3,94.8,63,Nữ,Nhà khoa học thính học,Sơn La
KH00100205,0.8359,0.1846,0.001490457202586,0.7817206070225697,2.302585092994046,1,2025-12-01,0,0.0,0,0,55.7,49.6,55.7,49.6,22,Nữ,Nhà thủy văn học,Hà Tĩnh
KH00100210,0.50275,0.11445,0.5474517081375547,0.23717533781968275,5.498874419189451,12,2025-12-01,0,0.0,0,0,70.74166666666666,81.51666666666667,60.0,81.9,31,Nam,Kỹ sư trắc địa,Thanh Hóa
KH00100245,0.56505,0.11510000000000001,0.5373136849686087,0.1714222966630993,4.817589773939326,12,2025-12-01,0,0.0,0,0,70.01666666666667,78.25,60.4,78.4,52,Nữ,Kỹ sư y sinh,Đồng Tháp
KH00100250,0.56515,0.1742,0.4722161209023812,0.1550837968662819,4.812184355372417,12,2025-12-01,0,0.0,0,0,66.86666666666666,76.65833333333333,52.9,74.4,78,Nữ,Giáo viên trung học,Thành phố Hồ Chí Minh
KH00100285,0.61895,0.1434,0.4720284380594303,0.14368036823881192,4.813538451720147,12,2025-12-01,0,0.0,0,0,67.86666666666666,75.46666666666667,56.3,77.7,57,Nam,Chuyên viên giám sát xây dựng,Tây Ninh
KH00100290,0.6988,0.18065,0.5187462027882181,0.18225103127722725,4.133832333729219,12,2025-12-01,0,0.0,0,0,64.44166666666666,76.075,56.9,74.9,29,Nữ,Giáo viên tiếng anh,Hà Tĩnh
KH00100325,0.49979999999999997,0.13374999999999998,0.4742888743699341,0.22644263116921945,5.903088603156555,12,2025-12-01,0,0.0,0,0,72.34166666666667,81.31666666666666,61.6,78.4,46,Nữ,Quản lý trung tâm giải trí,Phú Thọ
KH00100330,0.66335,0.16125,0.42378563239353856,0.17317259831377868,5.502278098445473,12,2025-12-01,0,0.0,0,0,69.01666666666667,78.65833333333333,57.2,78.2,34,Nam,Nhà sản xuất truyền hình,Khánh Hòa
KH00100365,0.7773,0.2207,0.0734161371076449,0.8767764298093588,2.5649493574615367,1,2025-09-01,0,0.0,0,0,57.8,48.6,57.8,48.6,52,Nam,Thanh tra công trình di tích,Hà Nội
KH00100370,0.888,0.26349999999999996,0.5246924707846717,0.16066935253414305,4.814214812922799,12,2025-12-01,0,0.0,0,0,61.75833333333333,76.79166666666667,49.5,74.2,44,Nam,Cán bộ ứng phó khẩn cấp,Tây Ninh
KH00100405,0.50105,0.1328,0.3041763763701363,0.22698556297127487,4.132496328186477,12,2025-12-01,0,0.0,0,0,70.26666666666667,76.08333333333333,54.9,84.7,20,Nam,Kế toán công chứng,Thành phố Hồ Chí Minh
KH00100410,0.5859000000000001,0.16249999999999998,0.514179681266786,0.18003217893986895,5.214482756468736,12,2025-12-01,0,0.0,0,0,66.45,78.71666666666667,56.0,81.4,53,Nữ,Kế toán công tài chính công,Thành phố Hồ Chí Minh
KH00100445,0.7463500000000001,0.1654,0.4854256947281874,0.1823402586965594,5.213122520484805,12,2025-12-01,0,0.0,0,0,64.31666666666666,79.575,53.1,75.5,56,Nữ,Nghiên cứu viên lâm sàng,Ninh Bình
KH00100450,0.75,0.20575,0.42017956944451385,0.27758740879154054,5.212668697014343,12,2025-12-01,0,0.0,0,0,63.824999999999996,82.85833333333333,49.3,84.7,28,Nữ,Giáo viên trung học,An Giang
KH00100485,0.5605,0.17735,0.5319602206234384,0.18154216466247974,5.494774652599741,12,2025-12-01,0,0.0,0,0,68.325,79.68333333333334,49.2,87.1,78,Nữ,Lập trình viên ứng dụng,Vĩnh Long
KH00100490,0.77875,0.1911,0.4750720182719541,0.2638239984254719,4.135166556742356,12,2025-12-01,0,0.0,0,0,62.76666666666667,77.75833333333334,50.9,80.3,44,Nữ,Chuyên viên trị liệu bằng làm vườn,Đồng Nai
KH00100525,0.6105,0.19345,0.5277307905229605,0.14887154150196444,4.812861632743379,12,2025-12-01,0,0.0,0,0,67.575,75.75,56.7,78.7,51,Nam,Chuyên viên tư vấn quan hệ công chúng,Bắc Ninh
KH00100530,0.5186,0.13069999999999998,0.5304075404536144,0.16451562275825848,5.211305989558407,12,2025-12-01,0,0.0,0,0,70.41666666666667,78.03333333333333,54.6,78.7,67,Nam,Kỹ sư điều khiển và tự động hóa,Quảng Trị
KH00100565,0.54465,0.16265000000000002,0.5613821942387881,0.18517370243714243,4.810828422961282,12,2025-12-01,0,0.0,0,0,69.77499999999999,77.15833333333333,58.0,76.0,65,Nữ,Cán bộ quản lý thị trường,Hà Nội
KH00100570,0.85815,0.24669999999999997,0.535056404565212,0.19794457934400586,5.213122520484805,12,2025-12-01,1,0.08333333333333333,0,0,57.725,79.075,34.3,79.9,50,Nam,Nhà khảo cổ học,Thái Nguyên
KH00100605,0.5157,0.18075,0.3729805171946437,0.18924422370944277,4.131158535344817,12,2025-12-01,0,0.0,0,0,67.85833333333333,73.74166666666666,53.9,78.4,35,Nữ,Chuyên viên khảo sát công trình,Thành phố Hồ Chí Minh
KH00100610,0.6385000000000001,0.24810000000000001,0.44090936268875847,0.2657821181191161,5.902177856281217,12,2025-12-01,0,0.0,0,0,64.27499999999999,83.54166666666667,50.1,83.8,48,Nữ,Nhà thiết kế triển lãm,Thành phố Hồ Chí Minh
KH00100645,0.58385,0.1613,0.5394226832857966,0.18068505144351682,4.139158578011894,12,2025-12-01,0,0.0,0,0,68.625,72.98333333333333,59.8,77.6,59,Nữ,Nhà tâm lý học pháp y,An Giang
KH00100650,0.5594,0.1426,0.4573875696057133,0.5426124303942867,2.0794415416798357,1,2025-04-01,0,0.0,0,0,72.7,47.4,72.7,47.4,84,Nữ,Kỹ sư hàng không,Hưng Yên
KH00100685,0.4708,0.0976,0.1952906958754912,0.3885701909093721,2.5649493574615367,1,2025-06-01,0,0.0,0,0,74.4,46.1,74.4,46.1,61,Nam,Nhà khoa học nghiên cứu toán học,Thanh Hóa
KH00100690,0.4557,0.17099999999999999,0.4914716355472599,0.215653635452282,5.2158411447237985,12,2025-12-01,0,0.0,0,0,70.54166666666667,80.05833333333334,60.4,80.7,64,Nữ,Kỹ sư bảo trì,Huế
KH00100725,0.67215,0.1992,0.4082662424110538,0.25505289571140344,4.1244425933793805,12,2025-12-01,0,0.0,0,0,65.30833333333334,78.44166666666666,50.5,81.4,41,Nữ,Nhà môi giới bảo hiểm,Bắc Ninh
KH00100730,0.46075,0.11145,0.545433059324762,0.16325079755595406,5.902633333401366,12,2025-12-01,0,0.0,0,0,69.15833333333333,78.40833333333333,51.1,86.4,36,Nữ,Nhà khoa học nghiên cứu khoa học tự nhiên,Sơn La
KH00100765,0.7684500000000001,0.2983,0.47696770382414744,0.14812793377640743,4.813538451720147,12,2025-12-01,1,0.08333333333333333,1,0,59.26666666666667,76.19166666666666,48.9,77.3,61,Nữ,Chuyên viên giám sát xây dựng,Huế
KH00100770,0.7657,0.1837,0.5071498755448403,0.14580404985631534,4.133832333729219,12,2025-12-01,0,0.0,0,0,65.375,72.575,55.6,76.3,59,Nam,Nhà văn khoa học,Phú Thọ
KH00100805,0.6362,0.16049999999999998,0.5379233582326344,0.15233271875009366,4.812861632743379,12,2025-12-01,0,0.0,0,0,67.96666666666667,76.58333333333333,56.4,75.6,57,Nam,Giáo viên dạy nhạc,Thành phố Hồ Chí Minh
KH00100810,0.53555,0.20485,0.5413848384754875,0.18213279433349916,4.81150661898592,12,2025-12-01,0,0.0,0,0,68.38333333333334,75.98333333333333,51.6,79.6,63,Nam,Nhà tâm lý học pháp y,Nghệ An
KH00100845,0.56845,0.1614,0.5859770661738515,0.15770838260011766,5.2108513407667605,12,2025-12-01,0,0.0,0,0,70.26666666666667,77.66666666666667,62.0,80.2,58,Nam,Kỹ sư cơ khí,Tây Ninh
KH00100850,0.37639999999999996,0.1117,0.5521061775049478,0.1574096823320491,5.214935757608986,12,2025-12-01,0,0.0,0,0,75.24166666666666,76.99166666666666,66.3,76.3,89,Nam,Bác sĩ tâm thần,Thành phố Hồ Chí Minh
KH00100885,0.57365,0.13715,0.5193561213443216,0.2619662565898231,5.211760431738461,12,2025-12-01,0,0.0,0,0,68.2,83.60833333333333,53.7,80.2,49,Nam,Chuyên viên dựng phim,Hưng Yên
KH00100890,0.5722,0.114,0.5080341744899355,0.10892550701434835,4.135166556742356,12,2025-12-01,0,0.0,0,0,68.44166666666666,72.85833333333333,52.0,86.3,65,Nữ,Kỹ sư xây dựng dân dụng,Tây Ninh
KH00100925,0.72525,0.2109,0.4632093637812555,0.23179566155561185,5.900582050630809,12,2025-12-01,0,0.0,0,0,63.00833333333333,82.01666666666667,50.8,81.9,36,Nữ,Họa sĩ,Đồng Nai
KH00100930,0.7305999999999999,0.2099,0.45987975572516915,0.2424295921353487,5.215388553632117,12,2025-12-01,0,0.0,0,0,63.75833333333333,81.35833333333333,51.5,87.2,42,Nữ,Chuyên viên tư vấn môi trường,Thanh Hóa
KH00100965,0.5864,0.18825,0.47191838033845385,0.19776600743423678,5.212214667494625,12,2025-12-01,0,0.0,0,0,67.26666666666667,79.14166666666667,58.1,78.3,23,Nữ,Chuyên viên phân tích địa chấn,Hải Phòng
KH00100970,0.6346499999999999,0.1515,0.38277806729715114,0.18621222748853183,4.817589773939326,12,2025-12-01,0,0.0,0,0,67.71666666666667,77.44166666666668,57.2,78.9,38,Nam,Chuyên viên trị liệu bằng làm vườn,Thành phố Hồ Chí Minh
KH00101005,0.82955,0.18475000000000003,0.3942263403358852,0.18333880786597367,4.815566164479798,12,2025-12-01,0,0.0,0,0,64.34166666666667,77.31666666666666,49.7,89.3,42,Nam,Cán bộ quan hệ sắc tộc,Lào Cai
KH00101010,0.6227499999999999,0.1811,0.4642287733751622,0.203932856205695,5.720311776607412,12,2025-12-01,0,0.0,0,0,63.75,80.90833333333333,46.7,82.1,38,Nam,Chuyên viên hoạch định quảng cáo,Bắc Ninh
KH00101045,0.61785,0.15975,0.43662818476856646,0.22139500865056239,5.718944722395879,12,2025-12-01,0,0.0,0,0,65.7,81.97500000000001,53.8,83.4,36,Nữ,Chuyên viên trị liệu âm nhạc,Hà Nội
KH00101050,0.5004,0.14,0.4814512247621914,0.141130321422972,5.214029550025447,12,2025-12-01,0,0.0,0,0,71.45833333333333,78.125,64.0,74.8,57,Nữ,Nhà khoa học sinh lý,Đồng Nai
KH00101085,0.6573,0.15935,0.5275041984083526,0.13954803264799315,5.214029550025447,12,2025-12-01,0,0.0,0,0,67.09166666666667,77.76666666666667,50.8,78.5,52,Nữ,Giáo viên tiểu học,Thành phố Hồ Chí Minh
KH00101090,0.67405,0.21134999999999998,0.5509383285415952,0.22125633524740934,5.216293531069446,12,2025-12-01,0,0.0,0,0,64.75,79.13333333333334,52.8,82.2,50,Nữ,Chuyên viên dinh dưỡng vật nuôi,Thành phố Hồ Chí Minh
KH00101125,0.68825,0.1943,0.39254890728911596,0.18895810934041446,4.81150661898592,12,2025-12-01,0,0.0,0,0,68.47500000000001,78.14166666666667,57.2,77.7,34,Nam,Chuyên viên thẩm định bồi thường,Đồng Nai
KH00101130,0.38634999999999997,0.14100000000000001,0.47032235089617,0.19655338806035227,5.211760431738461,12,2025-12-01,0,0.0,0,0,72.77499999999999,79.50833333333334,64.0,77.5,61,Nam,Bác sĩ đa khoa,Quảng Trị
KH00101165,0.3805,0.09425,0.5330356083488758,0.20491873774350805,5.216745712854225,12,2025-12-01,0,0.0,0,0,75.68333333333334,80.38333333333334,65.0,78.8,51,Nam,Bác sĩ chuyên khoa bàn chân,Lâm Đồng
KH00101170,0.69705,0.174,0.537931784160455,0.17260880430372116,5.213122520484805,12,2025-12-01,0,0.0,0,0,66.10000000000001,80.01666666666667,53.6,81.5,66,Nữ,Nhà vật lý y khoa,Lào Cai
KH00101205,0.4793,0.10615,0.4564397624928803,0.18069017103047869,5.499215308914927,12,2025-12-01,0,0.0,0,0,71.49166666666666,81.325,63.2,77.5,27,Nam,Giảng viên đại học,Lai Châu
KH00101210,0.7142,0.25705,0.3924164421237396,0.1912282655939728,5.214482756468736,12,2025-12-01,0,0.0,0,0,64.35000000000001,79.53333333333333,53.5,78.5,44,Nam,Nhân viên giao dịch,Thành phố Hồ Chí Minh
KH00101245,0.6755,0.1496,0.531009043961264,0.19890162498436614,5.499215308914927,12,2025-12-01,0,0.0,0,0,67.675,79.5,51.4,82.7,69,Nữ,Chuyên viên trị liệu nghề nghiệp,Huế
KH00101250,0.33715,0.07949999999999999,0.5280451859206576,0.14938794360376095,4.810828422961282,12,2025-12-01,0,0.0,0,0,77.21666666666667,75.5,73.1,75.0,48,Nữ,Giám đốc tiếp thị,Khánh Hòa
KH00101285,0.29355,0.05715,0.5972075450598272,0.11962556588057195,4.1298189504157605,12,2025-12-01,0,0.0,0,0,80.825,71.8,78.4,74.6,69,Nam,Giám đốc vận hành,Thành phố Hồ Chí Minh
KH00101290,0.48705,0.1291,0.37568923338612176,0.1913302896352015,4.133832333729219,12,2025-12-01,0,0.0,0,0,72.80833333333334,74.95833333333333,64.1,78.8,47,Nam,Nhà giao dịch hợp đồng tương lai,Thành phố Hồ Chí Minh
